id,name,summary,space,description,neighborhood_overview,notes,transit,host_about,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_count,price_float,sd,cf,ep,weekly_price_float,monthly_price_float,host_is_super_host,host_response_rate_float,review_true_score,cancel_policy_code,property_code,neighbourhood_code,room_code,zipcode_code
3772674.0,3.0,43.0,85.0,185.0,41.0,46.0,40.0,76.0,1.0,1.0,47.674074155575425,-122.39386405032921,2.0,1.0,1.0,1.0,2.0,3.0,1125.0,65.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,3.94,17.0,85.0,0.0,50.0,20.0,650.0,2824.25,0.0,1.0,3.8612,1,1,1,1,7
7618605.0,5.0,40.0,92.0,176.0,100.0,11.0,38.0,16.0,1.0,1.0,47.6684599605579,-122.37951599522181,2.0,1.0,1.0,1.0,1.0,1.0,1125.0,5.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.01,10.0,175.0,250.0,50.0,0.0,1225.0,5322.62,0.0,1.0,0.9696000000000001,0,1,1,1,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
7680439.0,6.0,47.0,83.0,176.0,26.0,36.0,40.0,38.0,1.0,1.0,47.673175384097654,-122.38225959936204,2.0,1.0,1.0,1.0,1.0,1.0,1125.0,16.0,93.0,9.0,10.0,10.0,10.0,10.0,10.0,1.0,3.29,20.0,59.0,0.0,12.0,0.0,351.0,1525.09,0.0,1.0,3.0597000000000003,0,10,1,2,7
1148517.0,5.0,39.0,187.0,181.0,107.0,0.0,33.0,84.0,1.0,1.0,47.67296864487422,-122.39733818247204,4.0,1.0,2.0,2.0,4.0,2.0,14.0,45.0,97.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,1.44,12.0,145.0,100.0,45.0,30.0,1015.0,4410.18,0.0,1.0,1.3968,1,10,1,1,7
2487892.0,5.0,41.0,24.0,179.0,56.0,11.0,14.0,25.0,1.0,1.0,47.66862741947888,-122.38949592536791,2.0,1.0,1.0,1.0,1.0,1.0,1125.0,75.0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,1.0,3.46,8.0,70.0,0.0,0.0,0.0,490.0,2129.05,0.0,1.0,3.2524,0,10,1,2,7
3038772.0,6.0,44.0,120.0,197.0,128.0,61.0,162.0,136.0,1.0,1.0,47.67011138347178,-122.39386928567663,2.0,1.0,1.0,1.0,1.0,2.0,1125.0,86.0,94.0,9.0,10.0,10.0,10.0,10.0,10.0,1.0,4.43,13.0,55.0,100.0,25.0,10.0,385.0,1672.82,0.0,1.0,4.164199999999999,1,10,1,2,7
4085439.0,3.0,38.0,29.0,143.0,76.0,0.0,0.0,0.0,1.0,1.0,47.670836178320855,-122.39253711071063,2.0,1.0,1.0,1.0,1.0,1.0,1125.0,6.0,92.0,10.0,10.0,10.0,10.0,10.0,8.0,1.0,0.38,12.0,125.0,0.0,0.0,0.0,875.0,3801.88,0.0,1.0,0.3496,0,10,1,2,7
8053990.0,5.0,45.0,74.0,182.0,72.0,0.0,68.0,54.0,3.0,3.0,47.670886774459845,-122.39302934993714,2.0,1.0,1.0,1.0,1.0,1.0,26.0,16.0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.75,11.0,65.0,0.0,45.0,0.0,455.0,1976.97,0.0,1.0,3.525,1,10,1,2,7
